model,start_epoch_time,end_epoch_time,epoch,train_loss,val_loss
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:52:05,2025-06-23 15:52:05,16,0.0026742962542280813,0.006445579288993031
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:52:06,2025-06-23 15:52:06,17,0.0026595612604414717,0.006365359705384998
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:52:07,2025-06-23 15:52:07,18,0.00264497838554404,0.00645753341294559
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:52:08,2025-06-23 15:52:08,19,0.002618148792109462,0.006424853700168785
models/powernet_lstm64_mlp132_mlp216_final32_dropout0.3_lr0.0005.pt,2025-06-23 15:52:09,2025-06-23 15:52:09,20,0.002616039858950514,0.006387242908766936
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:10,2025-06-23 15:52:10,1,0.010477864235434281,0.0363326169816511
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:11,2025-06-23 15:52:11,2,0.011243210544356556,0.0334264950693718
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:13,2025-06-23 15:52:13,3,0.01041629713345369,0.03096849333849691
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:14,2025-06-23 15:52:14,4,0.007555693198184442,0.016402066191880123
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:15,2025-06-23 15:52:15,5,0.00360286057822191,0.007917625740880058
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:16,2025-06-23 15:52:16,6,0.002923727547603836,0.007166581350334343
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:17,2025-06-23 15:52:17,7,0.002846732568886635,0.00702133676081541
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:18,2025-06-23 15:52:18,8,0.0027972351372977182,0.006802266957016573
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:19,2025-06-23 15:52:19,9,0.002750482376290178,0.007010790131365259
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:20,2025-06-23 15:52:20,10,0.0027102548717191496,0.00704945925722963
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:22,2025-06-23 15:52:22,11,0.002671268616439349,0.007124985263328112
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:23,2025-06-23 15:52:23,12,0.0026821284550986933,0.007066997247637205
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:24,2025-06-23 15:52:24,13,0.002627080331237713,0.007219179516791233
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:25,2025-06-23 15:52:25,14,0.002594602299899223,0.007188878218931634
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:26,2025-06-23 15:52:26,15,0.0025761932388687,0.0070095578973580685
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:27,2025-06-23 15:52:27,16,0.002580766101688227,0.007148356958558517
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:28,2025-06-23 15:52:28,17,0.0025777538118931533,0.007287262063029976
models/powernet_lstm64_mlp132_mlp216_final64_dropout0.2_lr0.001.pt,2025-06-23 15:52:29,2025-06-23 15:52:29,18,0.0025519888698009485,0.007290492654733714
